                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    5 Nov 2022 15:41:05
Satellite-FINCH


      Time (UTCG)             x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)   
5 Nov 2022 16:19:00.000      213.651218    -2244.010056     6492.899088      213.657593    -2244.017697     6492.896238    -2032.422728     -944.458152     6497.401265    -2041.987444     -954.865866     6492.879562    -2041.987429     -954.865850     6492.879569    -2041.879772     -954.963334     6492.899088    -2041.879769     -954.963341     6492.899088    -2011.264829     -921.849055     6507.224804    -2041.824494     -955.081520     6492.899088    -2041.824491     -955.081526     6492.899088      399.249825    -2218.528014     6492.896085    -2032.421300     -944.457932     6497.401744
5 Nov 2022 16:20:00.000      -11.108996    -1861.488247     6615.844650      -11.102500    -1861.496033     6615.842470    -1742.965548     -613.407981     6619.702718    -1754.497510     -622.341901     6615.821293    -1754.497491     -622.341886     6615.821299    -1754.367502     -622.460096     6615.844650    -1754.367498     -622.460104     6615.844650    -1717.533198     -594.059572     6628.109479    -1754.331468     -622.561642     6615.844650    -1754.331468     -622.561646     6615.844650      151.622456    -1855.344548     6615.842318    -1742.964093     -613.407757     6619.703122
5 Nov 2022 16:21:00.000     -232.428707    -1468.866095     6709.623988     -232.422119    -1468.873991     6709.622487    -1445.845338     -279.661285     6712.820986    -1459.293667     -287.082132     6709.596904    -1459.293644     -287.082119     6709.596909    -1459.141896     -287.220532     6709.623988    -1459.141891     -287.220541     6709.623989    -1416.250742     -263.658629     6719.774009    -1459.125265     -287.304993     6709.623989    -1459.125268     -287.304994     6709.623988      -96.671146    -1484.003891     6709.622337    -1445.843863     -279.661058     6712.821313
5 Nov 2022 16:22:00.000     -449.258551    -1067.897346     6773.825190     -449.251900    -1067.905318     6773.824374    -1142.368799       55.314629     6776.347062    -1157.674192       49.439481     6773.794497    -1157.674164       49.439492     6773.794502    -1157.501327       49.281487     6773.825190    -1157.501321       49.281476     6773.825191    -1108.742457       67.901183     6781.815780    -1157.504171       49.214482     6773.825191    -1157.504178       49.214484     6773.825190     -344.539472    -1106.139040     6773.824227    -1142.367309       55.314859     6776.347311
5 Nov 2022 16:23:00.000     -660.584361     -660.380913     6808.165446     -660.577677     -660.388925     6808.165317     -833.870202      390.047188     6810.001106     -850.965192      385.743567     6808.131280     -850.965159      385.743576     6808.131283     -850.771995      385.566676     6808.165446     -850.771987      385.566664     6808.165447     -796.360343      399.162310     6813.961479     -850.794302      385.517423     6808.165447     -850.794312      385.517428     6808.165446     -590.892922     -723.411275     6808.165176     -833.868705      390.047419     6810.001276
5 Nov 2022 16:24:00.000     -865.431842     -248.152885     6812.492192     -865.425153     -248.160902     6812.492750     -521.705687      723.064831     6813.633570     -540.514935      720.351657     6812.454704     -540.514897      720.351663     6812.454706     -540.302256      720.156649     6812.492192     -540.302248      720.156636     6812.492194     -480.477619      728.668449     6816.068188     -540.343928      720.125363     6812.492194     -540.343942      720.125372     6812.492192     -834.648445     -337.503064     6812.492617     -521.704189      723.065061     6813.633660
5 Nov 2022 16:25:00.000    -1062.871006      166.921608     6786.783746    -1062.864343      166.913621     6786.784986     -207.247506     1052.903279     6787.225823     -227.688130     1051.792483     6786.743100     -227.688087     1051.792485     6786.743101     -227.456907     1051.580218     6786.783746     -227.456897     1051.580204     6786.783749     -162.482900     1054.970761     6788.123984     -227.517760     1051.567037     6786.783749     -227.517779     1051.567049     6786.783746    -1074.734163       49.889086     6786.784863     -207.246014     1052.903509     6787.225833
5 Nov 2022 16:26:00.000    -1252.020360      582.956699     6731.149447    -1252.013751      582.948778     6731.151362      108.121799     1378.111787     6730.890279       86.139867     1378.608251     6731.105822       86.139915     1378.608250     6731.105821       86.388616     1378.379665     6731.149447       86.388626     1378.379650     6731.149450      156.225701     1376.634044     6730.248035       86.308848     1378.384648     6731.149450       86.308825     1378.384664     6731.149447    -1310.093952      437.061834     6731.151251      108.123279     1378.112014     6730.890209
5 Nov 2022 16:27:00.000    -1432.050797      998.054246     6645.829274    -1432.044272      998.046425     6645.831854      423.015302     1697.259323     6644.870002      399.588919     1699.360865     6645.782862      399.588972     1699.360860     6645.782860      399.854098     1699.116966     6645.829274      399.854110     1699.116949     6645.829277      474.246537     1692.242861     6642.690179      399.755767     1699.140089     6645.829277      399.755740     1699.140109     6645.829274    -1539.691942      822.312276     6645.831757      423.016763     1697.259548     6644.869852
5 Nov 2022 16:28:00.000    -1602.189203     1410.312380     6531.192930    -1602.182791     1410.304694     6531.196163      736.047614     2008.940692     6529.537775      711.280014     2012.638065     6531.143936      711.280071     2012.638056     6531.143932      711.560453     2012.379928     6531.192930      711.560466     2012.379910     6531.192934      790.180424     2000.407584     6525.829965      711.443992     2012.421091     6531.192934      711.443961     2012.421115     6531.192930    -1762.516945     1203.945224     6531.196082      736.049050     2008.940913     6529.537545
